Name,ID#
Lefty Weinert,1013739
Bobby Clack,1002250
Dave Haas,1005170
Brandon Backe,1529
Howard Farmer,1003936
Brian Allard,1000131
Pete Conway,1002557
Mike Paul,1010082
Erick Threets,3158
Lance Davis,1003065
Scott Mullen,618
Boom-Boom Beck,1000738
Gary Fortune,1004239
Rick Sutcliffe,1012734
Ray Keating,1006735
Bill Leith,1007502
Lefty Leifield,1007494
Charlie Smith,1012110
Mutt Williams,1014026
Frank Barberich,1000528
Johnny Kucab,1007194
Dusty Hughes,6164
George Suggs,1012673
Brad Peacock,5401
Sonny Gray,12768
Bob Baird,1000437
Bill Paschall,1010037
Jack Doscher,1003422
Dan Miceli,1463
Johnnie Wittig,1014173
Albie Lopez,102
Walt Leverenz,1007566
Joe Willis,1014009
Steven Register,7463
Randy Hennis,1005659
Stan Partenheimer,1010034
Rusty Gerhardt,1004631
Scott Randall,749
Ryan Dull,13974
Noah Syndergaard,11762
Wayne Twitchell,1013244
Ed Donnelly,1003383
Herman Besse,1000923
Toby Lyons,1007889
Judge Nagle,1009437
Frank Quinn,1010604
Bobby Wallace,1013542
Chauncey Fisher,1004081
Bill Fulton,1004403
Erik Hiljus,919
Jim Lonborg,1007724
Bill Harman,1005370
Ed Lafitte,1007250
Casey Cox,1002694
Hiroki Kuroda,3283
Karl Schnell,1011596
John Whitehead,1013882
Marcos Mateo,6869
Edinson Volquez,3990
Luis Sanchez,1011408
David Palmer,1009970
Larry Gura,1005150
Eric DuBose,1633
Al Corwin,1002647
Vic Darensbourg,516
Pat Neshek,4682
Jim Brillheart,1001434
Germany Smith,1012143
Chuck Estrada,1003841
Mike Prendergast,1010519
Cory Doyne,7262
Tom Norton,1009647
Dan Smith,1012120
Andy Sisco,3706
Eddie Priest,1010534
Esmil Rogers,6317
Kazuhiro Sasaki,1098
Mike Schultz,1011643
Guillermo Moscoso,5106
Paul Gehrman,1004599
Mike Dupree,1003581
Fernando Rodriguez,7558
Brian Shackelford,2461
Bill Boyd,1001274
Jorge Comellas,1002481
Josh Roenicke,3241
J.J. Hoover,9037
Doug Johns,1006449
Eric Hillman,1005830
Eddie Oropesa,69
Elmer Tutwiler,1013239
Alex Sanabia,5350
Brandon Villafuerte,1059
John Burkett,179
Ernie Alten,1000186
Doug Brocail,551
Sig Jakucki,1006338
Fred Toney,1013116
Josh Judy,1975
Chi Chi Gonzalez,14663
Charlie Haeger,3545
Jason Middlebrook,1048
John Wyatt,1014303
David Hernandez,4259
Nick Neugebauer,698
Roscoe Coughlin,1002672
Van Mungo,1009321
Bill Stafford,1012375
Nelson Chittum,1002200
Charlie Hastings,1005483
Harry McNeal,1008664
Craig House,1006055
Dave Boswell,1001222
Bill Stoneman,1012560
Danny Morris,1009201
Bobby Keppel,2229
Jerry Davie,1003032
Lafayette Henion,1005648
Hank Mason,1008219
Wade Taylor,1012893
Ad Gumbert,1005139
John Lamb,1007276
Jordan Lyles,7593
John Riedling,1515
Warren Spahn,1012299
Tom Parrott,1010025
Josh Geer,4781
Byron Houck,1006048
Jim Hyndman,1006250
Willie Blair,1001033
Billy Nash,1009456
Sean Nolin,11341
Ernie Johnson,1006454
Jesse Stovall,1012585
Tyler Johnson,3404
Bill Coyle,1002709
George Pinkney,1010358
Jeff Musselman,1009407
Bill Karns,1006704
Mike Overy,1009912
Paul Toth,1013140
Anthony Lerew,3440
Lefty Webb,1013711
Tex Covington,1002686
Mardie Cornejo,1002633
Roy Lee Jackson,1006311
Jim Haislip,1005213
Dick Lines,1007634
Fred Fussell,1004412
Tony Balsamo,1000499
Mike Strahler,1012591
Joe Boehling,1001115
Bubba Church,1002225
Wayne McLeland,1008623
John Gaub,2857
Kyle McClellan,4845
Allen Benson,1000849
Charlie Brown,1001502
Mike Squires,1012371
Matt Daley,7952
Alexi Amarista,9063
Ryan Brasier,5615
Dennis Ribant,1010890
Allan Travers,1013160
Shane Bowers,1001254
Mul Holland,1005951
Bill Burwell,1001740
Rick Huisman,1006172
Todd Erdos,1003804
Lefty Bertrand,1000918
Jim Brosnan,1001479
Bernie Friberg,1004347
Fred Newman,1009542
Juan Berenguer,1000865
Mike LaCoss,1007240
Murray Wall,1013562
Hector Rondon,2391
Jarred Cosart,10304
